engagement_id,substitution_clause,substitution_fettered,substitution_attempted,substitute_payment,decides_what_work_and_what_order,decides_how_work_performed,hours_and_location_set,report_to_a_manager,clients_last_12_months,own_trading_name,own_insurance,own_vat,defective_work_corrected,loss_on_engagement,who_provide_equipment,presented_as_part_of_organisation,staff_benefits_training_management,total_engagement_length,extension_count,exclusivity_clause,practical_bar,paid_for_time_or_completion
ENG-0001,False,,No attempt was made because the client required the named worker to perform the services personally.,unspecified,The client assigns tasks through its operations coordinator and sets their order each morning.,The worker follows the client's documented procedures and has limited discretion over the method.,"Hours are fixed at 8:30 to 17:00, Monday to Friday, at the client's premises.",The worker reports directly to the warehouse manager and attends a short daily briefing.,1,False,False,False,"The client arranges and pays for correction of errors, unless they were caused by deliberate misconduct.",The worker cannot realistically make a loss because they receive an hourly wage and supply no significant materials.,client,The worker wears the client's uniform and is listed on the internal staff rota. Customers are introduced to them as a member of the client's team.,"They receive paid induction training and use the same staff facilities as employees, but do not receive the full holiday package.",14,2,True,The fixed weekday schedule makes other regular work practically impossible. Occasional evening work elsewhere would be possible.,time
ENG-0002,True,True,The contractor proposed a substitute during a family emergency. The client interviewed the person and rejected them because they lacked the required site accreditation.,worker,The contractor accepts projects from a statement of work and decides which deliverables to tackle first.,"The contractor chooses the technical approach, software, and workflow, subject to the agreed specification.","No hours are prescribed; meetings are usually remote, with occasional access to the client's office by arrangement.",There is no line manager. The contractor sends progress updates to a project contact who checks deliverables.,4,True,True,True,The contractor must correct defects at their own expense within the agreed warranty period. They normally do the remedial work themselves.,A fixed fee means the contractor can lose money if the work takes longer than estimated or subcontracting costs rise.,worker,The contractor uses their own business name on correspondence and is not shown on the staff directory. External communications identify them as an independent supplier.,No employee benefits are provided. The contractor completed one client security briefing but receives no ongoing training or supervision.,9,1,False,Other work is expressly permitted and the contractor has several concurrent clients. Deadlines are the only practical constraint.,completion
ENG-0003,True,False,A substitute designer covered three weeks of work and was accepted after a basic portfolio check. The worker paid the substitute directly.,worker,The worker chooses which assignments to accept from a shared brief list and sequences the work independently.,"The worker determines the creative method, tools, and review process, provided the final assets meet the brief.","The worker sets their own hours and works mainly from a home studio, attending planned client meetings.",There is no manager. A brand lead provides feedback on drafts but does not direct the worker's day-to-day activity.,7,True,True,False,The worker revises rejected work without an additional fee where it falls outside the agreed brief. Major changes requested later are charged separately.,The worker bears the cost of wasted design time and can make a loss if revisions exceed the quoted allowance.,worker,They use their own email signature and are not presented as staff. Their portfolio and trading name appear on proposals.,There are no benefits or formal training. Feedback is limited to scheduled creative reviews.,6,0,False,The worker regularly fits other commissions around this engagement. There is no practical restriction beyond agreed delivery dates.,both
ENG-0004,False,,No attempt was made; the service agreement and client practice required personal attendance.,unspecified,The clinic's rota manager allocates appointments and determines the order of patient visits.,"The worker uses professional judgment, but the clinic sets mandatory protocols and treatment documentation standards.",The clinic sets regular shifts and requires the worker to attend its treatment rooms.,"The worker reports to the clinical lead, who reviews records and discusses any incidents.",1,False,True,False,The clinic handles patient follow-up and correction. The worker may be asked to repeat an assessment but does not usually bear the financial cost.,There is little opportunity for a loss because payment is hourly and equipment is supplied by the clinic.,client,The worker appears on the clinic rota and introduces themselves using the clinic's name. Patients generally perceive them as part of the clinic staff.,"They receive mandatory clinical training and regular supervision, but no pension or paid holiday benefits.",22,3,True,The rota and exclusivity arrangement leave little practical capacity for other work during the engagement.,time
ENG-0005,True,True,"The worker once sent a colleague to an installation, but the client required prior approval and the colleague was not accepted. The worker then completed the job personally.",worker,The client issues jobs through a portal and determines the priority of each call-out.,The worker chooses the practical method but must follow the client's safety checklist and installation standards.,"The client specifies appointment windows and customer locations, while travel between jobs is arranged by the worker.","A field-services supervisor monitors completion and is available for escalations, though there is no continuous supervision.",3,False,True,False,The worker returns without charge to correct workmanship defects within 30 days. The client pays for faults caused by supplied materials.,"The worker can lose money through unpaid travel, wasted visits, or buying small replacement parts.",mixed,The worker wears a branded jacket and uses a client-issued job application. Customers may assume they are part of the client's service team.,The worker receives an online safety induction but no employee benefits. Performance is monitored through customer ratings and completion reports.,11,1,False,"Other work is possible, although the client's appointment windows often occupy the most useful daytime slots.",both
ENG-0006,True,False,The contractor used a small network of approved specialists on two occasions. The client was notified but did not interview or approve each individual.,client,"The contractor proposes a backlog and agrees milestones with the client, then controls the order of delivery.","The contractor decides the method and may delegate technical tasks, subject only to acceptance criteria.","Work is performed at times chosen by the contractor, mostly remotely. Site visits are arranged when testing is necessary.",There is no manager or daily reporting line; fortnightly steering meetings cover risks and completed milestones.,5,True,True,True,The contractor is responsible for fixing defects identified during acceptance at their own cost. Third-party specialist costs are paid from the contractor's fee.,The contractor carries a meaningful risk of loss if subcontractor charges or rework exceed the fixed project price.,worker,The contractor is presented as an external consultancy and uses its own branding. It has no internal title or staff profile.,No benefits or internal training are provided. The contractor manages its own team and attends only project governance meetings.,18,2,False,"The consultancy serves several clients and can accept other projects, subject to meeting the agreed milestones.",completion
ENG-0007,False,,No attempt was made. The worker was engaged for their personal knowledge of the client's records.,unspecified,"The compliance director assigns cases and sets deadlines, usually in a weekly work queue.","The worker follows the client's templates and escalation rules, with some discretion over research and drafting.","Core hours are 10:00 to 16:00, with work split between the client's office and approved home working.",The worker reports to the compliance director and has monthly one-to-one meetings.,1,False,False,False,The worker revises inaccurate reports during paid time. The client bears the cost of any resulting administrative rework.,"The worker has no significant financial exposure and is paid for time spent, whether or not a particular case is completed.",mixed,The worker has a company email address and appears in the internal directory. External contacts are told they are working on behalf of the client.,"They receive data-protection training and regular supervision, but are excluded from the client's bonus scheme.",8,1,False,"Part-time hours leave room for other work, although confidentiality obligations prevent work for direct competitors.",time
ENG-0008,True,True,"The worker suggested a replacement after an injury, but the client required a named person with the same certification. No replacement was ultimately used.",worker,The client schedules each event and allocates the worker's duties in a detailed run sheet.,"The worker can use personal judgment in dealing with visitors, but the client dictates the event procedures and script.",Shift times and venues are fixed by the client and can include early mornings and weekends.,The worker reports to the event manager during every shift and receives instructions through a radio channel.,2,False,True,False,"If duties are missed, the client arranges cover or a repeat visit and generally absorbs the cost. The worker may lose the shift fee for serious non-attendance.",The worker cannot normally make a loss beyond unpaid time or travel because the client supplies the materials.,client,The worker wears the client's event uniform and is introduced to attendees as part of the event team.,"A short induction is required for each venue, with close shift supervision. No broader staff benefits are available.",4,0,True,The irregular but long shifts make it difficult to accept other bookings on event days. Work on non-event days remains possible.,time
ENG-0009,True,False,The sole trader used an associate for routine data cleansing without seeking permission. The client accepted the completed files and paid the sole trader.,worker,The worker receives a broad data objective and decides which datasets and tasks to process first.,"The worker chooses the software, validation approach, and working method, provided the output meets the agreed schema.",There are no fixed hours or location requirements. The work is completed from the worker's own office.,"The worker has a client contact for questions but no manager, supervision, or routine reporting obligation.",8,True,True,True,The worker must correct rejected files at no extra charge. Any assistant they hire is paid by the worker.,"The fixed fee creates a modest risk of loss from inefficient processing, software subscriptions, or subcontracting.",worker,The worker uses an independent business name and is not included in the client's organisational chart. They communicate as an outside data service.,There are no benefits or training beyond a short briefing on the client's file format.,3,0,False,The worker is free to take other jobs and has done so throughout the engagement.,completion
ENG-0010,False,,No attempt was made; the engagement letter states that the named analyst must perform the work.,unspecified,The client assigns analysis tickets and reprioritises them through a team leader.,"The worker chooses how to investigate issues but uses the client's mandatory tools, controls, and review process.",The worker is expected online during 9:00 to 17:30 and attends the client's office two days each week.,"The worker reports to the analytics manager, joins team stand-ups, and receives quarterly performance feedback.",1,False,False,False,"Errors are corrected by the worker during subsequent paid hours, with the team absorbing any wider rework.",There is no realistic risk of financial loss because payment is based on time and the client provides the required systems.,client,"The worker has a client laptop, email address, and permanent desk. Internally and externally they are presented as part of the analytics function.","They attend team training and receive supervised onboarding, but have no paid leave or employee bonus.",16,2,True,The full-time schedule and exclusivity clause make other work impractical during the engagement.,both
